SourcePort,TargetPort,Risk,SourcePortName,TargetPortName,SourceCountry,TargetCountry,SourceLat,SourceLon,TargetLat,TargetLon,Freq,SourceTemp,TargetTemp,SourceSal,TargetSal
3218,217,0.00044613556904,Reykjavik,Bildudalur,ISL,ISL,64.14972,-21.9475,65.68333,-23.6,8,6.52,4.55,34.7,34.41
6188,2548,0.00013073524266,Helguvik,Akureyri,ISL,ISL,64.38333,-21.46667,65.68333,-18.05,2,4.85,4.9,19.36,18.37
93,3218,0.0207473737118,Kollafjordur,Reykjavik,FRO,ISL,62.11667,-6.9,64.14972,-21.9475,68,7.71,6.52,35.18,34.7
217,3218,0.000153398035437,Bildudalur,Reykjavik,ISL,ISL,65.68333,-23.6,64.14972,-21.9475,3,4.55,6.52,34.41,34.7
4488,5494,0.0474333543129,Kodiak,Dutch Hbr.,USA,USA,57.78333,-152.4,53.9,-166.53333,193,6.33,5.94,32.43,32.51
113,3183,0.00460910527482,Qaqortoq,Nanortalik,GRL,GRL,60.71667,-46.03333,60.13333,-45.25,21,1.29,1.62,32.22,33.18
4364,3509,0.000401890549318,Kirkenes,North Cape,NOR,NOR,69.73333,30.05,71.16667,25.76667,2,5.23,6.01,16.25,34.42
6190,2623,0.000927739959268,Hofn,Vestmannaeyjar,ISL,ISL,64.26667,-15.21667,63.43333,-20.26667,3,6.51,8.51,34.84,34.93
4317,4175,0.000237703277956,Svolvaer,Sortland,NOR,NOR,68.23333,14.56667,68.7,15.43333,2,6.05,7.24,32.82,33.92
1235,4414,9.9775904574e-05,Eskifjordur,Honningsvaag,ISL,NOR,65.08333,-13.98333,70.98333,25.98333,1,4.24,6.02,34.53,34.34
5091,173,0.000393308941528,Halsa,Glomfjord,NOR,NOR,66.75,13.56667,66.81667,13.61667,1,7.52,7.52,16.92,17.19
4729,5066,0.0274077838067,Narvik,Harstad,NOR,NOR,68.43333,17.43333,68.8,16.55,7,3.55,7,4.16,33.69
93,53,0.000293251076096,Kollafjordur,Grundartangi,FRO,ISL,62.11667,-6.9,64.35,-21.78333,1,7.71,5.13,35.18,24.33
9404,5494,0.00112708040989,Cold Bay,Dutch Hbr.,USA,USA,55.18333,-162.7,53.9,-166.53333,1,5.91,5.94,31.57,32.51
3469,5835,0.000266551417849,Hammerfest,Advent Bay,NOR,SJM,70.66667,23.66667,78.25,15.58333,2,6.16,0.23,34.44,33.73
4706,5504,0.000287444315735,Uummannaq,Qaanaaq,GRL,GRL,70.68333,-52.13333,77.46667,-69.21667,1,1.47,0,32.78,32.79
2548,604,0.00339878700533,Akureyri,Isafjordur,ISL,ISL,65.68333,-18.05,66.08333,-23.1,2,4.9,5.31,18.37,34.49
225,3135,0.000170087188843,Narsarsuaq,Paamiut,GRL,GRL,61.15,-45.43333,62,-49.66667,1,3.15,0.06,15.34,32.69
173,4729,0.140981037763,Glomfjord,Narvik,NOR,NOR,66.81667,13.61667,68.43333,17.43333,10,7.52,3.55,17.19,4.16
3621,53,9.088730063e-05,Grindavik,Grundartangi,ISL,ISL,63.83333,-22.43333,64.35,-21.78333,1,7.22,5.13,34.68,24.33
1907,4414,0.000222152220275,Bodo,Honningsvaag,NOR,NOR,67.28333,14.38333,70.98333,25.98333,2,7.04,6.02,32.78,34.34
1301,3183,0.00270849220509,Narsaq,Nanortalik,GRL,GRL,60.9,-45.98333,60.13333,-45.25,11,2.83,1.62,14.58,33.18
5091,5082,0.000304696613511,Halsa,Tromso,NOR,NOR,66.75,13.56667,69.65,18.96667,3,7.52,4.14,16.92,12.35
5494,9516,0.00367133458842,Dutch Hbr.,Unalaska,USA,USA,53.9,-166.53333,53.85,-166.51667,20,5.94,5.91,32.51,32.51
1840,7714,0.000517044411489,Ittoqqortoormiit,Nerlerit Innat,GRL,GRL,70.4852,-21.9667,70.73333,-22.63333,3,-1.206,0.05,30.322,33.17
875,1907,0.000131614897106,Thorshofn,Bodo,ISL,NOR,66.2,-15.33333,67.28333,14.38333,1,4.79,7.04,34.34,32.78
102,7869,0.000241656536236,Aasiaat,Innaarsuit,GRL,GRL,68.71667,-52.88333,73.2,-56.0111,1,1.55,0.95,33.33,32.67
604,4602,0.000130681168992,Isafjordur,Neskaupstadur,ISL,ISL,66.08333,-23.1,65.15,-13.68333,1,5.31,4.59,34.49,34.3
2034,4539,0.000132417232271,Adak,Akutan,USA,USA,51.85,-176.65,54.13333,-165.75,1,5.53,5.9,32.89,32.1
1235,4158,0.000564748872961,Eskifjordur,Faskrudhsfjordur,ISL,ISL,65.08333,-13.98333,64.9295,-14.0119,2,4.24,6.015,34.53,34.471
2424,1142,0.000111396532467,Djupivogur,Torshavn,ISL,FRO,64.66667,-14.25,62,-6.75,1,6.6,8.39,34.85,35.17
2654,4729,0.0495745349692,Reydharfjordur,Narvik,ISL,NOR,65.0333,-14.2167,68.43333,17.43333,1,6.015,3.55,34.471,4.16
4158,3218,0.00071479745827,Faskrudhsfjordur,Reykjavik,ISL,ISL,64.9295,-14.0119,64.14972,-21.9475,5,6.015,6.52,34.471,34.7
3509,4414,0.00614952219737,North Cape,Honningsvaag,NOR,NOR,71.16667,25.76667,70.98333,25.98333,6,6.01,6.02,34.42,34.34
5610,5439,0.000394170782491,Straumsvik,Finnsnes,ISL,NOR,64.05,-22.05,69.23333,17.96667,1,7.39,5.19,34.7,10.3
7858,5241,0.000166983893515,Severomorsk,Murmansk,RUS,RUS,69.08333,33.45,68.96667,33.08333,1,3.39,3.37,16,6.55
3507,5082,0.000367391985318,Seydhisfjordur,Tromso,ISL,NOR,65.25,-13.91667,69.65,18.96667,3,4.1,4.14,23.89,12.35
5066,5742,8.88345774385e-05,Harstad,Finneid,NOR,NOR,68.8,16.55,67.25,15.4,1,7,4.99,33.69,5.23
4364,4175,5.019156848e-05,Kirkenes,Sortland,NOR,NOR,69.73333,30.05,68.7,15.43333,1,5.23,7.24,16.25,33.92
5082,5835,0.00429494546464,Tromso,Advent Bay,NOR,SJM,69.65,18.96667,78.25,15.58333,43,4.14,0.23,12.35,33.73
1205,9404,0.0019365003388,King Cove,Cold Bay,USA,USA,55.03333,-162.31667,55.18333,-162.7,4,5.42,5.91,31.57,31.57
2378,1235,0.000160601713212,Vopnafjordur,Eskifjordur,ISL,ISL,65.75,-14.81667,65.08333,-13.98333,4,4.04,4.24,34.5,34.53
53,1563,0.0678153868432,Grundartangi,Thorlakshofn,ISL,ISL,64.35,-21.78333,63.85,-21.33333,38,5.13,5.96,24.33,34.84
5435,4414,0.0012114041161,Vadso,Honningsvaag,NOR,NOR,70.06667,29.73333,70.98333,25.98333,1,3.33,6.02,33.81,34.34
173,4317,9.04062668513e-05,Glomfjord,Svolvaer,NOR,NOR,66.81667,13.61667,68.23333,14.56667,1,7.52,6.05,17.19,32.82
5435,2041,8.70375233115e-05,Vadso,Leirpollen,NOR,NOR,70.06667,29.73333,70.38333,25.51667,1,3.33,3.45,33.81,34.23
1235,6190,0.00013073524266,Eskifjordur,Hofn,ISL,ISL,65.08333,-13.98333,64.26667,-15.21667,1,4.24,6.51,34.53,34.84
5241,7939,0.358525763035,Murmansk,Vitino,RUS,RUS,68.96667,33.08333,66.9,32.33333,201,3.37,2.98,6.55,21.66
1019,2548,0.00331672376959,Jan Mayen Is.,Akureyri,SJM,ISL,70.9833,-8.5333,65.68333,-18.05,1,2.96,4.9,34.953,18.37
3469,3986,0.000124793351785,Hammerfest,Stokmarknes,NOR,NOR,70.66667,23.66667,68.56667,14.91667,1,6.16,5.96,34.44,32.78
2378,173,0.000363069913104,Vopnafjordur,Glomfjord,ISL,NOR,65.75,-14.81667,66.81667,13.61667,1,4.04,7.52,34.5,17.19
3781,7820,0.000343580852752,Kulusuk,Tasiusaq,GRL,GRL,65.53333,-37.25,73.36667,-56.06667,2,2.07,0.95,33.14,32.67
5066,1060,0.000439083781517,Harstad,Lodingen,NOR,NOR,68.8,16.55,68.41667,16,3,7,7.02,33.69,33.47
3621,4233,0.000143291689978,Grindavik,Dalvik,ISL,ISL,63.83333,-22.43333,65.96667,-18.51667,1,7.22,4.04,34.68,34.41
8797,1019,0.00300109577202,Longyearbyen,Jan Mayen Is.,SJM,SJM,78.25,15.58333,70.9833,-8.5333,1,0.23,2.96,33.73,34.953
4317,9948,0.000545092666036,Svolvaer,Vaeroy,NOR,NOR,68.23333,14.56667,67.6667,12.65,2,6.05,4.55,32.82,33.773
2041,5066,0.0173347841402,Leirpollen,Harstad,NOR,NOR,70.38333,25.51667,68.8,16.55,1,3.45,7,34.23,33.69
173,374,0.280126299219,Glomfjord,Hammerfall,NOR,NOR,66.81667,13.61667,67.41667,15.53333,24,7.52,4.7,17.19,10.27
6188,2019,0.00245330224055,Helguvik,Sandgerdhi,ISL,ISL,64.38333,-21.46667,64.05,-22.71667,2,4.85,7.53,19.36,34.71
3135,3183,0.000735103255583,Paamiut,Nanortalik,GRL,GRL,62,-49.66667,60.13333,-45.25,3,0.06,1.62,32.69,33.18
5082,9243,0.00108424905082,Tromso,Bergneset,NOR,NOR,69.65,18.96667,68.8,16,10,4.14,7.13,12.35,33.78
102,464,0.00245676745432,Aasiaat,Sisimiut,GRL,GRL,68.71667,-52.88333,66.95,-53.68333,8,1.55,1.69,33.33,33.1
